timestamp,predicted_value,change_pct,direction,trend,confidence,volatility_regime,horizon,interval_90,interval_50,interval_95,calibration_samples
2026-03-19T03:00:00,74010.36,-0.001014,-1,DOWN,0.1492,normal,44,"{'lower': np.float64(73536.82), 'upper': np.float64(74406.46), 'width': np.float64(869.64)}","{'lower': np.float64(73896.14), 'upper': np.float64(74109.62), 'width': np.float64(213.48)}","{'lower': np.float64(73365.47), 'upper': np.float64(74534.61), 'width': np.float64(1169.14)}",301
2026-03-19T04:00:00,74008.7,-0.001036,-1,DOWN,0.1439,normal,45,"{'lower': np.float64(73527.49), 'upper': np.float64(74412.92), 'width': np.float64(885.44)}","{'lower': np.float64(73891.93), 'upper': np.float64(74107.64), 'width': np.float64(215.7)}","{'lower': np.float64(73332.29), 'upper': np.float64(74537.64), 'width': np.float64(1205.35)}",301
2026-03-19T05:00:00,74007.05,-0.001058,-1,DOWN,0.1396,normal,46,"{'lower': np.float64(73508.3), 'upper': np.float64(74415.2), 'width': np.float64(906.9)}","{'lower': np.float64(73887.73), 'upper': np.float64(74105.32), 'width': np.float64(217.58)}","{'lower': np.float64(73299.12), 'upper': np.float64(74540.68), 'width': np.float64(1241.56)}",301
2026-03-19T06:00:00,74005.42,-0.00108,-1,DOWN,0.1353,normal,47,"{'lower': np.float64(73493.68), 'upper': np.float64(74401.14), 'width': np.float64(907.46)}","{'lower': np.float64(73882.85), 'upper': np.float64(74106.1), 'width': np.float64(223.25)}","{'lower': np.float64(73266.67), 'upper': np.float64(74543.73), 'width': np.float64(1277.07)}",301
2026-03-19T07:00:00,74003.8,-0.001102,-1,DOWN,0.1319,normal,48,"{'lower': np.float64(73479.07), 'upper': np.float64(74408.11), 'width': np.float64(929.04)}","{'lower': np.float64(73882.11), 'upper': np.float64(74106.07), 'width': np.float64(223.96)}","{'lower': np.float64(73259.44), 'upper': np.float64(74546.8), 'width': np.float64(1287.36)}",301
2026-03-19T08:00:00,74002.19,-0.001124,-1,DOWN,0.1287,normal,49,"{'lower': np.float64(73464.77), 'upper': np.float64(74406.83), 'width': np.float64(942.06)}","{'lower': np.float64(73878.17), 'upper': np.float64(74106.28), 'width': np.float64(228.11)}","{'lower': np.float64(73266.71), 'upper': np.float64(74549.88), 'width': np.float64(1283.17)}",301
2026-03-19T09:00:00,74000.6,-0.001145,-1,DOWN,0.1254,normal,50,"{'lower': np.float64(73450.66), 'upper': np.float64(74413.55), 'width': np.float64(962.89)}","{'lower': np.float64(73871.52), 'upper': np.float64(74105.14), 'width': np.float64(233.62)}","{'lower': np.float64(73274.26), 'upper': np.float64(74554.3), 'width': np.float64(1280.04)}",301
2026-03-19T10:00:00,73999.04,-0.001167,-1,DOWN,0.1236,normal,51,"{'lower': np.float64(73436.58), 'upper': np.float64(74420.29), 'width': np.float64(983.72)}","{'lower': np.float64(73866.51), 'upper': np.float64(74108.11), 'width': np.float64(241.6)}","{'lower': np.float64(73282.07), 'upper': np.float64(74565.91), 'width': np.float64(1283.84)}",301
2026-03-19T11:00:00,73997.5,-0.001187,-1,DOWN,0.1206,normal,52,"{'lower': np.float64(73422.52), 'upper': np.float64(74426.8), 'width': np.float64(1004.28)}","{'lower': np.float64(73863.12), 'upper': np.float64(74113.2), 'width': np.float64(250.08)}","{'lower': np.float64(73289.91), 'upper': np.float64(74577.54), 'width': np.float64(1287.63)}",301
2026-03-19T12:00:00,73995.97,-0.001208,-1,DOWN,0.1179,normal,53,"{'lower': np.float64(73412.35), 'upper': np.float64(74430.56), 'width': np.float64(1018.21)}","{'lower': np.float64(73857.99), 'upper': np.float64(74117.24), 'width': np.float64(259.24)}","{'lower': np.float64(73297.76), 'upper': np.float64(74588.98), 'width': np.float64(1291.22)}",301
