$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
9615,1,1,2026-03-10 14:47:00+00:00,70470.0,70686.0,70470.0,70586.73,12302,54.6568,3859605.5466533,31.33983,2212987.9341243
9614,1,1,2026-03-10 14:48:00+00:00,70586.73,70656.0,70565.38,70644.06,8299,23.23528,1640607.6838096,11.10069,783756.3423983
9613,1,1,2026-03-10 14:49:00+00:00,70644.07,70672.37,70600.0,70643.7,6325,14.33725,1012842.4731531,7.72011,545383.0052464
9612,1,1,2026-03-10 14:50:00+00:00,70643.99,70866.66,70643.99,70800.0,14708,58.04757,4109016.1765953,40.68846,2880011.5126017
9611,1,1,2026-03-10 14:51:00+00:00,70800.01,70913.89,70766.82,70877.73,9232,31.77031,2250669.3143921,18.20899,1289965.2093748
9610,1,1,2026-03-10 14:52:00+00:00,70877.72,70896.0,70812.01,70814.29,7588,16.00328,1133863.9705119,9.93117,703610.8307495
9609,1,1,2026-03-10 14:53:00+00:00,70814.29,71167.66,70788.44,71116.1,19405,152.39835,10814200.3297464,95.68317,6792670.4563641
9608,1,1,2026-03-10 14:54:00+00:00,71116.11,71179.42,71062.2,71134.76,11255,93.66126,6662101.2060055,36.96169,2629443.4174288
9607,1,1,2026-03-10 14:55:00+00:00,71134.77,71241.81,71134.75,71233.81,7951,57.85215,4118330.5989948,32.05117,2281678.8306964
9606,1,1,2026-03-10 14:56:00+00:00,71233.81,71472.0,71224.68,71431.93,20604,227.77917,16264494.2813626,167.532,11963646.5800984
9605,1,1,2026-03-10 14:57:00+00:00,71431.93,71521.52,71420.01,71517.98,11257,94.21416,6735532.2606537,61.52887,4398737.9222371
9604,1,1,2026-03-10 14:58:00+00:00,71517.99,71527.54,71376.92,71422.46,9931,90.55884,6469019.1232543,15.97265,1141197.2904001
9603,1,1,2026-03-10 14:59:00+00:00,71422.46,71472.58,71370.0,71467.81,8037,35.83959,2559409.1780651,13.96255,997088.1906855
9602,1,1,2026-03-10 15:00:00+00:00,71467.81,71564.57,71411.59,71487.09,15338,128.57949,9192907.7269796,105.2854,7527325.965447
9601,1,1,2026-03-10 15:01:00+00:00,71487.1,71517.59,71430.56,71469.75,11033,60.26599,4308104.8446964,22.30493,1594303.2138349
9600,1,1,2026-03-10 15:02:00+00:00,71469.76,71592.99,71442.39,71488.22,9693,74.02601,5294466.7750725,55.74274,3986916.5651166
9599,1,1,2026-03-10 15:03:00+00:00,71488.22,71505.99,71369.74,71399.99,9376,36.59957,2613551.0356262,15.33445,1094865.0981502
9598,1,1,2026-03-10 15:04:00+00:00,71399.99,71777.0,71399.99,71776.99,15172,90.74146,6501797.1349447,66.88497,4792602.0623783
9597,1,1,2026-03-10 15:05:00+00:00,71777.0,71777.0,71398.46,71467.97,14066,50.5349,3617445.5963886,15.68587,1123267.629512
9596,1,1,2026-03-10 15:06:00+00:00,71467.98,71471.99,71148.28,71172.9,14990,57.41072,4094622.9274376,13.78873,983180.3972367
9595,1,1,2026-03-10 15:07:00+00:00,71172.91,71262.47,71172.9,71211.91,7959,37.74411,2688338.6446371,12.4005,883217.2399047
9594,1,1,2026-03-10 15:08:00+00:00,71211.9,71282.11,71208.0,71277.37,6980,23.25525,1656990.7842418,12.56483,895216.7903144
9593,1,1,2026-03-10 15:09:00+00:00,71277.38,71285.5,71165.19,71169.74,6740,33.82046,2408951.7280307,13.90161,990239.382524
9592,1,1,2026-03-10 15:10:00+00:00,71169.73,71299.53,71086.85,71281.52,8748,44.67908,3180759.7356029,23.6041,1680353.7071445
9591,1,1,2026-03-10 15:11:00+00:00,71281.52,71296.48,71216.36,71276.39,5293,31.4591,2241758.1963087,15.85655,1129914.6368127
9590,1,1,2026-03-10 15:12:00+00:00,71276.39,71285.85,71180.98,71208.63,5841,26.61064,1895362.2752936,16.57953,1180916.9436527
9589,1,1,2026-03-10 15:13:00+00:00,71208.63,71254.36,71108.59,71171.57,8810,48.89338,3480567.6938787,25.24102,1796884.1586365
9588,1,1,2026-03-10 15:14:00+00:00,71171.57,71244.0,71171.55,71198.89,5588,31.16692,2219448.6380217,13.5128,962236.1517866
9587,1,1,2026-03-10 15:15:00+00:00,71198.88,71198.88,71013.77,71022.27,10649,37.57426,2671447.6044986,13.76795,979014.3885009
9586,1,1,2026-03-10 15:16:00+00:00,71022.28,71103.08,70975.56,71090.06,9488,42.4106,3013092.4244541,16.57291,1177530.9875547
9585,1,1,2026-03-10 15:17:00+00:00,71090.05,71247.26,71085.62,71201.9,7566,24.64711,1754494.7748985,17.31067,1232168.1955877
9584,1,1,2026-03-10 15:18:00+00:00,71201.91,71230.02,71156.0,71177.84,5821,20.68249,1472496.8649944,9.68585,689648.2769875
9583,1,1,2026-03-10 15:19:00+00:00,71177.83,71216.0,71162.39,71205.5,4546,23.22068,1653144.3325506,6.05811,431266.3573582
9582,1,1,2026-03-10 15:20:00+00:00,71205.49,71301.79,71183.84,71288.6,7700,21.259,1514825.6595018,15.67543,1116959.6516665
9581,1,1,2026-03-10 15:21:00+00:00,71288.6,71288.6,71184.13,71205.05,5741,13.34344,950412.1515091,6.81747,485552.3534022
9580,1,1,2026-03-10 15:22:00+00:00,71205.06,71205.06,71064.52,71146.0,8371,38.47335,2735587.9358871,7.96302,566204.4839877
9579,1,1,2026-03-10 15:23:00+00:00,71146.01,71261.39,71146.01,71261.12,5864,17.89465,1274708.826983,12.69109,903971.0265471
9578,1,1,2026-03-10 15:24:00+00:00,71261.11,71280.0,71236.26,71279.99,3528,27.66699,1971257.6131637,10.277,732278.9951719
9577,1,1,2026-03-10 15:25:00+00:00,71279.99,71409.06,71244.0,71409.06,6854,22.83349,1628165.4550459,15.00805,1070273.6197791
9576,1,1,2026-03-10 15:26:00+00:00,71409.07,71454.81,71240.0,71240.0,8673,33.85941,2414597.7981524,15.17555,1082340.0365203
9575,1,1,2026-03-10 15:27:00+00:00,71240.01,71320.0,71218.0,71300.42,5400,24.80024,1766972.8136096,17.76562,1265650.1764867
9574,1,1,2026-03-10 15:28:00+00:00,71300.42,71370.78,71298.39,71368.18,4966,12.22759,872386.0429222,7.7988,556383.5222139
9573,1,1,2026-03-10 15:29:00+00:00,71368.17,71395.99,71340.5,71348.01,4484,15.07557,1075912.490745,9.32422,665455.1361961
9572,1,1,2026-03-10 15:30:00+00:00,71348.01,71474.69,71332.0,71423.2,7407,23.33204,1666315.2924439,16.55844,1182641.6583229
9571,1,1,2026-03-10 15:31:00+00:00,71423.21,71465.88,71367.04,71423.57,6888,24.2509,1731837.6902417,15.20796,1086181.8436823
9570,1,1,2026-03-10 15:32:00+00:00,71423.58,71505.51,71333.51,71505.5,7081,23.59152,1684727.5815237,14.43318,1030962.3677464
9569,1,1,2026-03-10 15:33:00+00:00,71505.51,71625.83,71505.51,71562.0,9933,46.15262,3303694.0860624,23.99866,1717564.5304735
9568,1,1,2026-03-10 15:34:00+00:00,71562.0,71562.0,71218.0,71269.24,10361,56.73028,4048762.6111075,15.7859,1126593.1091401
9567,1,1,2026-03-10 15:35:00+00:00,71269.24,71362.29,71245.05,71349.34,5760,22.29859,1589956.1026519,13.62762,971718.7979079
9566,1,1,2026-03-10 15:36:00+00:00,71349.33,71368.8,71305.74,71317.67,4505,14.58634,1040628.9060112,5.78784,412895.2855673
9565,1,1,2026-03-10 15:37:00+00:00,71317.67,71441.26,71300.0,71307.97,7131,46.72614,3335789.4129161,31.42736,2243923.5145034
9564,1,1,2026-03-10 15:38:00+00:00,71307.98,71307.98,71153.56,71160.55,6686,39.96147,2845454.1390574,18.21644,1297088.4048811
9563,1,1,2026-03-10 15:39:00+00:00,71160.55,71202.03,71085.14,71120.0,5650,35.94283,2557337.2712024,16.96842,1207414.5068408
9562,1,1,2026-03-10 15:40:00+00:00,71119.99,71119.99,71022.33,71022.34,6001,25.44766,1808416.3355801,10.68759,759512.3266067
9561,1,1,2026-03-10 15:41:00+00:00,71022.33,71043.26,70964.7,71043.26,7401,37.13418,2636600.7403444,18.26645,1297020.249141
9560,1,1,2026-03-10 15:42:00+00:00,71043.26,71188.91,70985.97,71179.11,8276,60.74146,4318063.5903642,46.46339,3303098.0611489
9559,1,1,2026-03-10 15:43:00+00:00,71179.1,71221.36,71150.88,71182.01,4316,14.86262,1058054.8520456,8.32852,592940.4457028
9558,1,1,2026-03-10 15:44:00+00:00,71182.02,71211.47,71107.06,71119.17,5577,32.43582,2307873.6423305,12.53636,892180.8210478
9557,1,1,2026-03-10 15:45:00+00:00,71119.17,71174.72,71089.63,71158.59,5070,28.21993,2006867.7305076,17.98977,1279414.4992519
9556,1,1,2026-03-10 15:46:00+00:00,71158.59,71205.03,71086.0,71113.64,5893,39.97943,2843774.3161001,19.2613,1370155.3462744
9555,1,1,2026-03-10 15:47:00+00:00,71113.63,71118.0,70984.11,71073.67,9005,20.92409,1486898.0388342,9.58454,681013.388671
9554,1,1,2026-03-10 15:48:00+00:00,71073.66,71073.66,71001.68,71027.12,4911,21.21653,1507169.8019039,8.42707,598700.0407238
9553,1,1,2026-03-10 15:49:00+00:00,71027.11,71136.0,71010.88,71068.75,5863,18.83134,1337963.9950513,6.77822,481746.0289803
