$id,instrumentId,marketId,timestamp_column,open,high,low,close,tickCount,volume,qaVolume,takerBuyBAVolume,takerBuyQAVolume
4264,1,1,2025-09-20 17:00:00+00:00,116027.95,116079.46,115817.28,115821.72,35167,189.06923,21917689.9130673,63.96265,7415092.7476048
4263,1,1,2025-09-20 18:00:00+00:00,115821.73,115821.73,115700.0,115711.51,29847,191.99051,22221824.6701967,71.05481,8223341.5677362
4262,1,1,2025-09-20 19:00:00+00:00,115711.51,115812.62,115698.08,115702.0,20796,290.9007,33668791.478692,146.56069,16963088.5694818
4261,1,1,2025-09-20 20:00:00+00:00,115702.0,115789.57,115689.91,115721.1,30505,163.21635,18891408.5089258,89.93564,10408866.6641925
4260,1,1,2025-09-20 21:00:00+00:00,115721.1,115944.7,115721.1,115786.31,42416,200.3631,23208180.2855888,109.82938,12720706.0799383
4259,1,1,2025-09-20 22:00:00+00:00,115786.3,115796.54,115742.14,115776.06,20626,169.22355,19590578.1243171,79.86414,9245536.5093149
4258,1,1,2025-09-20 23:00:00+00:00,115776.06,115776.06,115603.42,115685.63,20575,137.43212,15898850.1311384,63.78719,7379026.9644532
4257,1,1,2025-09-21 00:00:00+00:00,115685.63,115732.94,115559.97,115660.01,35085,204.93197,23699016.6774874,83.75813,9685798.3988665
4256,1,1,2025-09-21 01:00:00+00:00,115660.01,115660.01,115500.0,115500.0,30213,193.04313,22308946.2413404,73.1167,8449727.7926592
4255,1,1,2025-09-21 02:00:00+00:00,115500.01,115700.0,115441.83,115690.76,41753,321.18986,37116906.3517266,125.37218,14490318.957984
4254,1,1,2025-09-21 03:00:00+00:00,115690.76,115723.43,115616.38,115669.41,31581,199.89426,23119978.5977133,99.96555,11561774.0467618
4253,1,1,2025-09-21 04:00:00+00:00,115669.42,115669.42,115494.22,115494.23,26384,121.47731,14036679.5482784,34.96635,4040581.2525523
4252,1,1,2025-09-21 05:00:00+00:00,115494.23,115663.49,115487.56,115663.48,34441,237.18676,27406761.0894541,131.17445,15156750.9345353
4251,1,1,2025-09-21 06:00:00+00:00,115663.48,115787.39,115663.48,115687.2,39375,201.84931,23363568.3081893,100.35251,11615192.9511052
4250,1,1,2025-09-21 07:00:00+00:00,115687.21,115815.98,115615.0,115815.97,35418,246.42642,28510215.4129415,130.27973,15072816.3120032
4249,1,1,2025-09-21 08:00:00+00:00,115815.98,115819.06,115560.94,115629.6,39972,182.84602,21147484.514988,67.84849,7846233.4499794
